index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
114,Adventure Fantasy Family,674,magic dying and death broom sorcerer's apprentice school of witchcraft,en,Harry Potter and the Goblet of Fire,101.250416,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
115,Fantasy Action,8960,flying alcohol love of one's life forbidden love lovers,en,Hancock,56.758411,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
116,Drama Horror Action Thriller Science Fiction,6479,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,en,I Am Legend,70.867401,The last man on Earth is not alone,I Am Legend,6.9,4853,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
117,Adventure Comedy Family Fantasy,118,london england father son relationship chocolate factory worker based on novel,en,Charlie and the Chocolate Factory,53.905592,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
118,Animation Comedy Family Fantasy,2062,paris brother brother relationship expensive restaurant river cook,en,Ratatouille,65.677399,He's dying to become a chef.,Ratatouille,7.5,4369,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
119,Action Crime Drama,272,himalaya martial arts dc comics crime fighter secret identity,en,Batman Begins,115.040024,Evil fears the knight.,Batman Begins,7.5,7359,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
120,Family Animation,10527,africa jealousy dance hunger lion,en,Madagascar: Escape 2 Africa,44.141021,Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1810,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
121,Adventure Fantasy Action Comedy Family,18360,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,en,Night at the Museum: Battle of the Smithsonian,81.781591,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,1971,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
122,Adventure Action Thriller Science Fiction,2080,corruption mutant boxer army marvel comic,en,X-Men Origins: Wolverine,5.954334,Witness the Origin.,X-Men Origins: Wolverine,6.2,4021,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
123,Adventure Action Thriller Science Fiction,605,saving the world artificial intelligence man vs machine flying philosophy,en,The Matrix Revolutions,73.313918,Everything that has a beginning has an end.,The Matrix Revolutions,6.4,3096,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
124,Animation Adventure Family,109445,queen musical princess betrayal snowman,en,Frozen,165.125366,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5295,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
125,Adventure Action Thriller Science Fiction,604,saving the world artificial intelligence man vs machine martial arts kung fu,en,The Matrix Reloaded,70.78591,Free your mind.,The Matrix Reloaded,6.7,3443,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
126,Action Adventure Fantasy,76338,marvel comic superhero based on comic book hostile takeover norse mythology,en,Thor: The Dark World,99.499595,Delve into the darkness,Thor: The Dark World,6.8,4755,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
127,Action Adventure Science Fiction Thriller,76341,future chase post-apocalyptic dystopia australia,en,Mad Max: Fury Road,434.278564,What a Lovely Day.,Mad Max: Fury Road,7.2,9427,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
129,Adventure Fantasy Action,10195,new mexico banishment shield marvel comic hammer,en,Thor,86.493424,Two worlds. One hero.,Thor,6.6,6525,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
130,Animation Family Adventure Comedy,13053,hamster kids and family animal cat vs dog duringcreditsstinger,en,Bolt,41.845878,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
131,Fantasy Action Adventure Family Comedy,19585,dyr duringcreditsstinger,en,G-Force,26.710398,The world needs bigger heroes,G-Force,5.1,510,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
132,Adventure,57165,underworld hades mythology greek mythology zeus,en,Wrath of the Titans,44.927635,Feel the Wrath,Wrath of the Titans,5.5,1431,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
133,Comedy Fantasy,62213,witch imprisonment vampire curse fish out of water,en,Dark Shadows,50.306728,Every Family Has Its Demons,Dark Shadows,5.7,2320,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
134,Action Adventure Thriller,177677,london england spy austria villain sequel,en,Mission: Impossible - Rogue Nation,114.522237,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.1,3224,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
135,Drama Horror Thriller,7978,father son relationship victorian england remake rural setting werewolf,en,The Wolfman,21.214571,When the moon is full the legend comes to life,The Wolfman,5.5,549,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
136,Family Animation Adventure Comedy,5559,factory worker tennis flower florist flower shop,en,Bee Movie,29.332905,Born to bee wild.,Bee Movie,5.7,1171,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
137,Animation Family,49444,martial arts hope fleet panda mission,en,Kung Fu Panda 2,51.247321,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,6.7,1880,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
138,Action Adventure Family Fantasy,10196,fire ice war ship prince kingdom,en,The Last Airbender,33.769336,"Four nations, one destiny",The Last Airbender,4.7,1151,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
139,Adventure Action Thriller,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,63.079003,The Mission Begins 05:05:06.,Mission: Impossible III,6.5,2028,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
140,Action Drama Thriller,117251,usa president conspiracy secret service the white house,en,White House Down,39.004588,It will start like any other day.,White House Down,6.4,1891,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich
141,Adventure Animation Family,50321,boy alien rescue martian alien abduction,en,Mars Needs Moms,12.362599,Mom needs a little space.,Mars Needs Moms,5.5,199,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
142,Adventure Animation Comedy Family,11619,london england underworld return ship frog,en,Flushed Away,22.550135,Someone's Going Down,Flushed Away,6,874,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers
143,Adventure Family Fantasy,266647,flying magic fairy tale peter pan mermaid,en,Pan,48.03528,Every legend has a beginning.,Pan,5.9,954,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
144,Animation Adventure Family,82703,father son relationship egypt intelligence adoption time travel,en,Mr. Peabody & Sherman,38.73494,He's Leaving His Mark On History,Mr. Peabody & Sherman,6.7,843,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff
145,Adventure Drama War,652,brother brother relationship adultery mythology beauty trojan war,en,Troy,66.803149,For passion. For honor. For destiny. For victory. For love.,Troy,6.9,2759,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen
146,Animation Family,80321,madagascar 3d,en,Madagascar 3: Europe's Most Wanted,44.989192,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,6.4,1808,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
147,Adventure Action Thriller,36669,laser british secret service secret service agent space based weapon,en,Die Another Day,54.159392,He’s never been cooler.,Die Another Day,5.8,1092,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
148,Action Fantasy Comedy,43074,female friendship ghost hunting reboot ghost,en,Ghostbusters,66.21806,Who You Gonna Call?,Ghostbusters,5.3,2142,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
149,Action Thriller Science Fiction Adventure,95,saving the world paris moon cataclysm asteroid,en,Armageddon,58.485967,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay
150,Action Adventure Comedy Science Fiction,608,saving the world secret identity sun glasses undercover space marine,en,Men in Black II,91.332849,Same Planet. New Scum.,Men in Black II,6,3114,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
151,Adventure Action Animation,2310,denmark nordic mythology lie pride and vanity folk hero,en,Beowulf,35.601665,Evil breeds pain.,Beowulf,5.5,841,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis
152,Action Adventure Animation Comedy Family,140300,china martial arts kung fu village panda,en,Kung Fu Panda 3,56.747978,Grab destiny by the rice dumplings.,Kung Fu Panda 3,6.7,1603,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
153,Action Thriller Adventure,56292,fight sequel mission explosion broken arm,en,Mission: Impossible - Ghost Protocol,77.77477,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird
154,Fantasy Animation Family,81188,dream santa claus nightmare easter bunny tooth fairy,en,Rise of the Guardians,61.788035,You better believe.,Rise of the Guardians,7.1,1922,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey
155,Comedy,7552,based on novel desperation robber hold-up robbery remake,en,Fun with Dick and Jane,25.159168,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot
156,Drama Action War History,616,japan war crimes sense of guilt swordplay general,en,The Last Samurai,52.341226,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,7.3,1895,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick
157,Adventure Drama Action,147441,moses bible ancient egypt 3d ramses,en,Exodus: Gods and Kings,101.599427,"Once brothers, now enemies.",Exodus: Gods and Kings,5.6,1921,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
158,Science Fiction Action Adventure,13475,spacecraft teleportation space mission parachute time travel,en,Star Trek,73.616808,The future begins.,Star Trek,7.4,4518,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,J.J. Abrams
159,Fantasy Action,557,loss of lover spider thanksgiving bad boss hostility,en,Spider-Man,82.502566,With great power comes great responsibility.,Spider-Man,6.8,5265,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi
160,Fantasy Action Adventure Animation Comedy,82702,father son relationship wife husband relationship sacrifice viking sequel,en,How to Train Your Dragon 2,100.21391,The training is over.,How to Train Your Dragon 2,7.6,3106,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Dean DeBlois
161,Fantasy,205584,egypt underworld fight mythology nile,en,Gods of Egypt,56.257249,The battle for eternity begins,Gods of Egypt,5.3,1277,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas
162,Action,10048,artificial intelligence u.s. navy aftercreditsstinger,en,Stealth,17.88953,Fear The Sky,Stealth,4.9,331,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen
163,Action Mystery Science Fiction,13183,dc comics secret identity mass murder retirement based on comic book,en,Watchmen,64.798873,Justice is coming to all of us.  No matter what we do.,Watchmen,7,2811,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,Zack Snyder
164,Action Adventure Comedy Crime Thriller,944,lapd house on fire revolver,en,Lethal Weapon 4,24.855701,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,Richard Donner
165,Drama Action Science Fiction,1927,california san francisco monster general gun,en,Hulk,34.981698,Unleash the hero within,Hulk,5.3,1533,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,Ang Lee
167,Action Adventure Comedy Drama Mystery,7364,tyrant ironclad ship,en,Sahara,21.605568,Dirk Pitt. Adventure has a new name.,Sahara,5.7,434,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner
168,Adventure Action Animation Fantasy Science Fiction,2114,battle assignment dystopia alien downfall scientist,en,Final Fantasy: The Spirits Within,26.074908,Unleash a new reality,Final Fantasy: The Spirits Within,5.9,433,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi
169,Action Adventure Science Fiction,1771,new york usa world war ii nazis marvel comic,en,Captain America: The First Avenger,74.506246,When patriots become heroes,Captain America: The First Avenger,6.6,7047,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston
170,Adventure Action Thriller,36643,british mission oil heiress bilbao spain,en,The World Is Not Enough,39.604363,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6,862,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted
171,Adventure,8619,naturalist frigate self surgery sea battle weevil,en,Master and Commander: The Far Side of the World,36.973031,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,6.9,790,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,Peter Weir
172,Adventure Fantasy Drama Romance,50620,vampire romance villainess super strength imprinting,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,Bill Condon
173,Animation Comedy Family,65759,penguin musical aftercreditsstinger 3d,en,Happy Feet Two,17.7735,Every step counts.,Happy Feet Two,5.8,373,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,George Miller
174,Science Fiction Action Adventure,1724,new york rio de janeiro marvel comic superhero based on comic book,en,The Incredible Hulk,62.898336,You'll like him when he's angry.,The Incredible Hulk,6.1,3021,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier
175,Adventure Family Fantasy,267935,london england england based on novel queen little girl,en,The BFG,44.19092,The world is more giant than you can imagine.,The BFG,6,1000,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg
176,Western Drama Adventure Thriller,281957,father son relationship rape based on novel mountains winter,en,The Revenant,100.635882,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
